"","X","symboling","make","fuel.type","body.style","drive.wheels","engine.location","width","height","engine.type","engine.size","horsepower","city.mpg","highway.mpg","price"
"1",1,3,"alfa-romero","gas","convertible","rwd","front",64.1,48.8,"dohc",130,"111",21,27,13495
"2",2,3,"alfa-romero","gas","convertible","rwd","front",64.1,48.8,"dohc",130,"111",21,27,16500
"3",3,1,"alfa-romero","gas","hatchback","rwd","front",65.5,52.4,"ohcv",152,"154",19,26,16500
"4",4,2,"audi","gas","sedan","fwd","front",66.2,54.3,"ohc",109,"102",24,30,13950
"5",5,2,"audi","gas","sedan","4wd","front",66.4,54.3,"ohc",136,"115",18,22,17450
"6",6,2,"audi","gas","sedan","fwd","front",66.3,53.1,"ohc",136,"110",19,25,15250
"7",7,1,"audi","gas","sedan","fwd","front",71.4,55.7,"ohc",136,"110",19,25,17710
"8",8,1,"audi","gas","wagon","fwd","front",71.4,55.7,"ohc",136,"110",19,25,18920
"9",9,1,"audi","gas","sedan","fwd","front",71.4,55.9,"ohc",131,"140",17,20,23875
"10",10,0,"audi","gas","hatchback","4wd","front",67.9,52,"ohc",131,"160",16,22,12000
"11",11,2,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",108,"101",23,29,16430
"12",12,0,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",108,"101",23,29,16925
"13",13,0,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",164,"121",21,28,20970
"14",14,0,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",164,"121",21,28,21105
"15",15,1,"bmw","gas","sedan","rwd","front",66.9,55.7,"ohc",164,"121",20,25,24565
"16",16,0,"bmw","gas","sedan","rwd","front",66.9,55.7,"ohc",209,"182",16,22,30760
"17",17,0,"bmw","gas","sedan","rwd","front",67.9,53.7,"ohc",209,"182",16,22,41315
"18",18,0,"bmw","gas","sedan","rwd","front",70.9,56.3,"ohc",209,"182",15,20,36880
"19",19,2,"chevrolet","gas","hatchback","fwd","front",60.3,53.2,"l",61,"48",47,53,5151
"20",20,1,"chevrolet","gas","hatchback","fwd","front",63.6,52,"ohc",90,"70",38,43,6295
"21",21,0,"chevrolet","gas","sedan","fwd","front",63.6,52,"ohc",90,"70",38,43,6575
"22",22,1,"dodge","gas","hatchback","fwd","front",63.8,50.8,"ohc",90,"68",37,41,5572
"23",23,1,"dodge","gas","hatchback","fwd","front",63.8,50.8,"ohc",90,"68",31,38,6377
"24",24,1,"dodge","gas","hatchback","fwd","front",63.8,50.8,"ohc",98,"102",24,30,7957
"25",25,1,"dodge","gas","hatchback","fwd","front",63.8,50.6,"ohc",90,"68",31,38,6229
"26",26,1,"dodge","gas","sedan","fwd","front",63.8,50.6,"ohc",90,"68",31,38,6692
"27",27,1,"dodge","gas","sedan","fwd","front",63.8,50.6,"ohc",90,"68",31,38,7609
"28",28,1,"dodge","gas","sedan","fwd","front",63.8,50.6,"ohc",98,"102",24,30,8558
"29",29,-1,"dodge","gas","wagon","fwd","front",64.6,59.8,"ohc",122,"88",24,30,8921
"30",30,3,"dodge","gas","hatchback","fwd","front",66.3,50.2,"ohc",156,"145",19,24,12964
"31",31,2,"honda","gas","hatchback","fwd","front",63.9,50.8,"ohc",92,"58",49,54,6479
"32",32,2,"honda","gas","hatchback","fwd","front",63.9,50.8,"ohc",92,"76",31,38,6855
"33",33,1,"honda","gas","hatchback","fwd","front",64,52.6,"ohc",79,"60",38,42,5399
"34",34,1,"honda","gas","hatchback","fwd","front",64,52.6,"ohc",92,"76",30,34,6529
"35",35,1,"honda","gas","hatchback","fwd","front",64,52.6,"ohc",92,"76",30,34,7129
"36",36,0,"honda","gas","sedan","fwd","front",64,54.5,"ohc",92,"76",30,34,7295
"37",37,0,"honda","gas","wagon","fwd","front",63.9,58.3,"ohc",92,"76",30,34,7295
"38",38,0,"honda","gas","hatchback","fwd","front",65.2,53.3,"ohc",110,"86",27,33,7895
"39",39,0,"honda","gas","hatchback","fwd","front",65.2,53.3,"ohc",110,"86",27,33,9095
"40",40,0,"honda","gas","sedan","fwd","front",65.2,54.1,"ohc",110,"86",27,33,8845
"41",41,0,"honda","gas","sedan","fwd","front",62.5,54.1,"ohc",110,"86",27,33,10295
"42",42,0,"honda","gas","sedan","fwd","front",65.2,54.1,"ohc",110,"101",24,28,12945
"43",43,1,"honda","gas","sedan","fwd","front",66,51,"ohc",110,"100",25,31,10345
"44",44,0,"isuzu","gas","sedan","rwd","front",61.8,53.5,"ohc",111,"78",24,29,6785
"45",45,1,"isuzu","gas","sedan","fwd","front",63.6,52,"ohc",90,"70",38,43,10000
"46",46,0,"isuzu","gas","sedan","fwd","front",63.6,52,"ohc",90,"70",38,43,23000
"47",47,2,"isuzu","gas","hatchback","rwd","front",65.2,51.4,"ohc",119,"90",24,29,11048
"48",48,0,"jaguar","gas","sedan","rwd","front",69.6,52.8,"dohc",258,"176",15,19,32250
"49",49,0,"jaguar","gas","sedan","rwd","front",69.6,52.8,"dohc",258,"176",15,19,35550
"50",50,0,"jaguar","gas","sedan","rwd","front",70.6,47.8,"ohcv",326,"262",13,17,36000
"51",51,1,"mazda","gas","hatchback","fwd","front",64.2,54.1,"ohc",91,"68",30,31,5195
"52",52,1,"mazda","gas","hatchback","fwd","front",64.2,54.1,"ohc",91,"68",31,38,6095
"53",53,1,"mazda","gas","hatchback","fwd","front",64.2,54.1,"ohc",91,"68",31,38,6795
"54",54,1,"mazda","gas","sedan","fwd","front",64.2,54.1,"ohc",91,"68",31,38,6695
"55",55,1,"mazda","gas","sedan","fwd","front",64.2,54.1,"ohc",91,"68",31,38,7395
"56",56,3,"mazda","gas","hatchback","rwd","front",65.7,49.6,"rotor",70,"101",17,23,10945
"57",57,3,"mazda","gas","hatchback","rwd","front",65.7,49.6,"rotor",70,"101",17,23,11845
"58",58,3,"mazda","gas","hatchback","rwd","front",65.7,49.6,"rotor",70,"101",17,23,13645
"59",59,3,"mazda","gas","hatchback","rwd","front",65.7,49.6,"rotor",80,"135",16,23,15645
"60",60,1,"mazda","gas","hatchback","fwd","front",66.5,53.7,"ohc",122,"84",26,32,8845
"61",61,0,"mazda","gas","sedan","fwd","front",66.5,55.5,"ohc",122,"84",26,32,8495
"62",62,1,"mazda","gas","hatchback","fwd","front",66.5,53.7,"ohc",122,"84",26,32,10595
"63",63,0,"mazda","gas","sedan","fwd","front",66.5,55.5,"ohc",122,"84",26,32,10245
"64",64,0,"mazda","diesel","sedan","fwd","front",66.5,55.5,"ohc",122,"64",36,42,10795
"65",65,0,"mazda","gas","hatchback","fwd","front",66.5,55.5,"ohc",122,"84",26,32,11245
"66",66,0,"mazda","gas","sedan","rwd","front",66.1,54.4,"ohc",140,"120",19,27,18280
"67",67,0,"mazda","diesel","sedan","rwd","front",66.1,54.4,"ohc",134,"72",31,39,18344
"68",68,-1,"mercedes-benz","diesel","sedan","rwd","front",70.3,56.5,"ohc",183,"123",22,25,25552
"69",69,-1,"mercedes-benz","diesel","wagon","rwd","front",70.3,58.7,"ohc",183,"123",22,25,28248
"70",70,0,"mercedes-benz","diesel","hardtop","rwd","front",70.3,54.9,"ohc",183,"123",22,25,28176
"71",71,-1,"mercedes-benz","diesel","sedan","rwd","front",71.7,56.3,"ohc",183,"123",22,25,31600
"72",72,-1,"mercedes-benz","gas","sedan","rwd","front",71.7,56.5,"ohcv",234,"155",16,18,34184
"73",73,3,"mercedes-benz","gas","convertible","rwd","front",70.5,50.8,"ohcv",234,"155",16,18,35056
"74",74,0,"mercedes-benz","gas","sedan","rwd","front",71.7,56.7,"ohcv",308,"184",14,16,40960
"75",75,1,"mercedes-benz","gas","hardtop","rwd","front",72,55.4,"ohcv",304,"184",14,16,45400
"76",76,1,"mercury","gas","hatchback","rwd","front",68,54.8,"ohc",140,"175",19,24,16503
"77",77,2,"mitsubishi","gas","hatchback","fwd","front",64.4,50.8,"ohc",92,"68",37,41,5389
"78",78,2,"mitsubishi","gas","hatchback","fwd","front",64.4,50.8,"ohc",92,"68",31,38,6189
"79",79,2,"mitsubishi","gas","hatchback","fwd","front",64.4,50.8,"ohc",92,"68",31,38,6669
"80",80,1,"mitsubishi","gas","hatchback","fwd","front",63.8,50.8,"ohc",98,"102",24,30,7689
"81",81,3,"mitsubishi","gas","hatchback","fwd","front",65.4,49.4,"ohc",110,"116",23,30,9959
"82",82,3,"mitsubishi","gas","hatchback","fwd","front",65.4,49.4,"ohc",122,"88",25,32,8499
"83",83,3,"mitsubishi","gas","hatchback","fwd","front",66.3,50.2,"ohc",156,"145",19,24,12629
"84",84,3,"mitsubishi","gas","hatchback","fwd","front",66.3,50.2,"ohc",156,"145",19,24,14869
"85",85,3,"mitsubishi","gas","hatchback","fwd","front",66.3,50.2,"ohc",156,"145",19,24,14489
"86",86,1,"mitsubishi","gas","sedan","fwd","front",65.4,51.6,"ohc",122,"88",25,32,6989
"87",87,1,"mitsubishi","gas","sedan","fwd","front",65.4,51.6,"ohc",122,"88",25,32,8189
"88",88,1,"mitsubishi","gas","sedan","fwd","front",65.4,51.6,"ohc",110,"116",23,30,9279
"89",89,-1,"mitsubishi","gas","sedan","fwd","front",65.4,51.6,"ohc",110,"116",23,30,9279
"90",90,1,"nissan","gas","sedan","fwd","front",63.8,54.5,"ohc",97,"69",31,37,5499
"91",91,1,"nissan","diesel","sedan","fwd","front",63.8,54.5,"ohc",103,"55",45,50,7099
"92",92,1,"nissan","gas","sedan","fwd","front",63.8,54.5,"ohc",97,"69",31,37,6649
"93",93,1,"nissan","gas","sedan","fwd","front",63.8,54.5,"ohc",97,"69",31,37,6849
"94",94,1,"nissan","gas","wagon","fwd","front",63.8,53.5,"ohc",97,"69",31,37,7349
"95",95,1,"nissan","gas","sedan","fwd","front",63.8,54.5,"ohc",97,"69",31,37,7299
"96",96,1,"nissan","gas","hatchback","fwd","front",63.8,53.3,"ohc",97,"69",31,37,7799
"97",97,1,"nissan","gas","sedan","fwd","front",63.8,54.5,"ohc",97,"69",31,37,7499
"98",98,1,"nissan","gas","wagon","fwd","front",63.8,53.5,"ohc",97,"69",31,37,7999
"99",99,2,"nissan","gas","hardtop","fwd","front",63.8,53.3,"ohc",97,"69",31,37,8249
"100",100,0,"nissan","gas","hatchback","fwd","front",65.2,54.7,"ohc",120,"97",27,34,8949
"101",101,0,"nissan","gas","sedan","fwd","front",65.2,54.7,"ohc",NA,"97",27,34,9549
"102",102,0,"nissan","gas","sedan","fwd","front",66.5,55.1,"ohcv",181,"152",17,22,13499
"103",103,0,"nissan","gas","wagon","fwd","front",66.5,56.1,"ohcv",181,"152",17,22,14399
"104",104,0,"nissan","gas","sedan","fwd","front",66.5,55.1,"ohcv",181,"152",19,25,13499
"105",105,3,"nissan","gas","hatchback","rwd","front",67.9,49.7,"ohcv",181,"160",19,25,17199
"106",106,3,"nissan","gas","hatchback","rwd","front",67.9,49.7,"ohcv",181,"200",17,23,19699
"107",107,1,"nissan","gas","hatchback","rwd","front",67.9,49.7,"ohcv",181,"160",19,25,18399
"108",108,0,"peugot","gas","sedan","rwd","front",68.4,56.7,"l",120,"97",19,24,11900
"109",109,0,"peugot","diesel","sedan","rwd","front",68.4,56.7,"l",152,"95",28,33,13200
"110",110,0,"peugot","gas","wagon","rwd","front",68.4,58.7,"l",120,"97",19,24,12440
"111",111,0,"peugot","diesel","wagon","rwd","front",68.4,58.7,"l",152,"95",25,25,13860
"112",112,0,"peugot","gas","sedan","rwd","front",68.4,56.7,"l",120,"95",19,24,15580
"113",113,0,"peugot","diesel","sedan","rwd","front",68.4,56.7,"l",152,"95",28,33,16900
"114",114,0,"peugot","gas","wagon","rwd","front",68.4,56.7,"l",120,"95",19,24,16695
"115",115,0,"peugot","diesel","wagon","rwd","front",68.4,58.7,"l",152,"95",25,25,17075
"116",116,0,"peugot","gas","sedan","rwd","front",68.4,56.7,"l",120,"97",19,24,16630
"117",117,0,"peugot","diesel","sedan","rwd","front",68.4,56.7,"l",152,"95",28,33,17950
"118",118,0,"peugot","gas","sedan","rwd","front",68.3,56,"l",134,"142",18,24,18150
"119",119,1,"plymouth","gas","hatchback","fwd","front",63.8,50.8,"ohc",90,"68",37,41,5572
"120",120,1,"plymouth","gas","hatchback","fwd","front",63.8,50.8,"ohc",98,"102",24,30,7957
"121",121,1,"plymouth","gas","hatchback","fwd","front",63.8,50.6,"ohc",90,"68",31,38,6229
"122",122,1,"plymouth","gas","sedan","fwd","front",63.8,50.8,"ohc",90,"68",31,38,6692
"123",123,1,"plymouth","gas","sedan","fwd","front",63.8,50.8,"ohc",98,"68",31,38,7609
"124",124,-1,"plymouth","gas","wagon","fwd","front",64.6,59.8,"ohc",122,"88",24,30,8921
"125",125,3,"plymouth","gas","hatchback","rwd","front",66.3,50.2,"ohc",156,"145",19,24,12764
"126",126,3,"porsche","gas","hatchback","rwd","front",68.3,50.2,"ohc",151,"143",19,27,22018
"127",127,3,"porsche","gas","hardtop","rwd","rear",65,51.6,"ohcf",194,"207",17,25,32528
"128",128,3,"porsche","gas","hardtop","rwd","rear",65,51.6,"ohcf",194,"207",17,25,34028
"129",129,3,"porsche","gas","convertible","rwd","rear",65,51.6,"ohcf",194,"207",17,25,37028
"130",130,1,"porsche","gas","hatchback","rwd","front",72.3,50.5,"dohcv",203,"288",17,28,12000
"131",131,0,"renault","gas","wagon","fwd","front",66.5,55.2,"ohc",132,"?",23,31,9295
"132",132,2,"renault","gas","hatchback","fwd","front",66.6,50.5,"ohc",132,"?",23,31,9895
"133",133,3,"saab","gas","hatchback","fwd","front",66.5,56.1,"ohc",121,"110",21,28,11850
"134",134,2,"saab","gas","sedan","fwd","front",66.5,56.1,"ohc",121,"110",21,28,12170
"135",135,3,"saab","gas","hatchback","fwd","front",66.5,56.1,"ohc",121,"110",21,28,15040
"136",136,2,"saab","gas","sedan","fwd","front",66.5,56.1,"ohc",121,"110",21,28,15510
"137",137,3,"saab","gas","hatchback","fwd","front",66.5,56.1,"dohc",121,"160",19,26,18150
"138",138,2,"saab","gas","sedan","fwd","front",66.5,56.1,"dohc",121,"160",19,26,18620
"139",139,2,"subaru","gas","hatchback","fwd","front",63.4,53.7,"ohcf",97,"69",31,36,5118
"140",140,2,"subaru","gas","hatchback","fwd","front",63.6,53.7,"ohcf",108,"73",26,31,7053
"141",141,2,"subaru","gas","hatchback","4wd","front",63.8,55.7,"ohcf",108,"73",26,31,7603
"142",142,0,"subaru","gas","sedan","fwd","front",65.4,52.5,"ohcf",108,"82",32,37,7126
"143",143,0,"subaru","gas","sedan","fwd","front",65.4,52.5,"ohcf",108,"82",28,33,7775
"144",144,0,"subaru","gas","sedan","fwd","front",65.4,52.5,"ohcf",108,"94",26,32,9960
"145",145,0,"subaru","gas","sedan","4wd","front",65.4,54.3,"ohcf",108,"82",24,25,9233
"146",146,0,"subaru","gas","sedan","4wd","front",65.4,54.3,"ohcf",108,"111",24,29,11259
"147",147,0,"subaru","gas","wagon","fwd","front",65.4,53,"ohcf",108,"82",28,32,7463
"148",148,0,"subaru","gas","wagon","fwd","front",65.4,53,"ohcf",108,"94",25,31,10198
"149",149,0,"subaru","gas","wagon","4wd","front",65.4,54.9,"ohcf",108,"82",23,29,8013
"150",150,0,"subaru","gas","wagon","4wd","front",65.4,54.9,"ohcf",108,"111",23,23,11694
"151",151,1,"toyota","gas","hatchback","fwd","front",63.6,54.5,"ohc",92,"62",35,39,5348
"152",152,1,"toyota","gas","hatchback","fwd","front",63.6,54.5,"ohc",92,"62",31,38,6338
"153",153,1,"toyota","gas","hatchback","fwd","front",63.6,54.5,"ohc",92,"62",31,38,6488
"154",154,0,"toyota","gas","wagon","fwd","front",63.6,59.1,"ohc",92,"62",31,37,6918
"155",155,0,"toyota","gas","wagon","4wd","front",63.6,59.1,"ohc",92,"62",27,32,7898
"156",156,0,"toyota","gas","wagon","4wd","front",63.6,59.1,"ohc",92,"62",27,32,8778
"157",157,0,"toyota","gas","sedan","fwd","front",64.4,53,"ohc",98,"70",30,37,6938
"158",158,0,"toyota","gas","hatchback","fwd","front",64.4,52.8,"ohc",98,"70",30,37,7198
"159",159,0,"toyota","diesel","sedan","fwd","front",64.4,53,"ohc",110,"56",34,36,7898
"160",160,0,"toyota","diesel","hatchback","fwd","front",64.4,52.8,"ohc",110,"56",38,47,7788
"161",161,0,"toyota","gas","sedan","fwd","front",64.4,53,"ohc",98,"70",38,47,7738
"162",162,0,"toyota","gas","hatchback","fwd","front",64.4,52.8,"ohc",98,"70",28,34,8358
"163",163,0,"toyota","gas","sedan","fwd","front",64.4,52.8,"ohc",98,"70",28,34,9258
"164",164,1,"toyota","gas","sedan","rwd","front",64,52.6,"ohc",98,"70",29,34,8058
"165",165,1,"toyota","gas","hatchback","rwd","front",64,52.6,"ohc",98,"70",29,34,8238
"166",166,1,"toyota","gas","sedan","rwd","front",64,52.6,"dohc",98,"112",26,29,9298
"167",167,1,"toyota","gas","hatchback","rwd","front",64,52.6,"dohc",98,"112",26,29,9538
"168",168,2,"toyota","gas","hardtop","rwd","front",65.6,52,"ohc",146,"116",24,30,8449
"169",169,2,"toyota","gas","hardtop","rwd","front",65.6,52,"ohc",146,"116",24,30,9639
"170",170,2,"toyota","gas","hatchback","rwd","front",65.6,52,"ohc",146,"116",24,30,9989
"171",171,2,"toyota","gas","hardtop","rwd","front",65.6,52,"ohc",146,"116",24,30,11199
"172",172,2,"toyota","gas","hatchback","rwd","front",65.6,52,"ohc",146,"116",24,30,11549
"173",173,2,"toyota","gas","convertible","rwd","front",65.6,53,"ohc",146,"116",24,30,17669
"174",174,-1,"toyota","gas","sedan","fwd","front",66.5,54.9,"ohc",122,"92",29,34,8948
"175",175,-1,"toyota","diesel","sedan","fwd","front",66.5,54.9,"ohc",110,"73",30,33,10698
"176",176,-1,"toyota","gas","hatchback","fwd","front",66.5,53.9,"ohc",122,"92",27,32,9988
"177",177,-1,"toyota","gas","sedan","fwd","front",66.5,54.9,"ohc",122,"92",27,32,10898
"178",178,-1,"toyota","gas","hatchback","fwd","front",66.5,53.9,"ohc",122,"92",27,32,11248
"179",179,3,"toyota","gas","hatchback","rwd","front",67.7,52,"dohc",171,"161",20,24,16558
"180",180,3,"toyota","gas","hatchback","rwd","front",67.7,52,"dohc",171,"161",19,24,15998
"181",181,-1,"toyota","gas","sedan","rwd","front",66.5,54.1,"dohc",171,"156",20,24,15690
"182",182,-1,"toyota","gas","wagon","rwd","front",66.5,54.1,"dohc",161,"156",19,24,15750
"183",183,2,"volkswagen","diesel","sedan","fwd","front",65.5,55.7,"ohc",97,"52",37,46,7775
"184",184,2,"volkswagen","gas","sedan","fwd","front",65.5,55.7,"ohc",109,"85",27,34,7975
"185",185,2,"volkswagen","diesel","sedan","fwd","front",65.5,55.7,"ohc",97,"52",37,46,7995
"186",186,2,"volkswagen","gas","sedan","fwd","front",65.5,55.7,"ohc",109,"85",27,34,8195
"187",187,2,"volkswagen","gas","sedan","fwd","front",65.5,55.7,"ohc",109,"85",27,34,8495
"188",188,2,"volkswagen","diesel","sedan","fwd","front",65.5,55.7,"ohc",97,"68",37,42,9495
"189",189,2,"volkswagen","gas","sedan","fwd","front",65.5,55.7,"ohc",109,"100",26,32,9995
"190",190,3,"volkswagen","gas","convertible","fwd","front",64.2,55.6,"ohc",109,"90",24,29,11595
"191",191,3,"volkswagen","gas","hatchback","fwd","front",64,51.4,"ohc",109,"90",24,29,9980
"192",192,0,"volkswagen","gas","sedan","fwd","front",66.9,55.1,"ohc",136,"110",19,24,13295
"193",193,0,"volkswagen","diesel","sedan","fwd","front",66.9,55.1,"ohc",97,"68",33,38,13845
"194",194,0,"volkswagen","gas","wagon","fwd","front",66.9,55.1,"ohc",109,"88",25,31,12290
"195",195,-2,"volvo","gas","sedan","rwd","front",67.2,56.2,"ohc",141,"114",23,28,12940
"196",196,-1,"volvo","gas","wagon","rwd","front",67.2,57.5,"ohc",141,"114",23,28,13415
"197",197,-2,"volvo","gas","sedan","rwd","front",67.2,56.2,"ohc",141,"114",24,28,15985
"198",198,-1,"volvo","gas","wagon","rwd","front",67.2,57.5,"ohc",141,"114",24,28,16515
"199",199,-2,"volvo","gas","sedan","rwd","front",67.2,56.2,"ohc",130,"162",17,22,18420
"200",200,-1,"volvo","gas","wagon","rwd","front",67.2,57.5,"ohc",NA,"162",17,22,18950
"201",201,-1,"volvo","gas","sedan","rwd","front",68.9,55.5,"ohc",141,"114",23,28,16845
"202",202,-1,"volvo","gas","sedan","rwd","front",68.8,55.5,"ohc",141,"160",19,25,19045
"203",203,-1,"volvo","gas","sedan","rwd","front",NA,55.5,"ohcv",173,"134",18,23,21485
"204",204,-1,"volvo","diesel","sedan","rwd","front",68.9,55.5,"ohc",145,"106",26,27,22470
"205",205,-1,"volvo","gas","sedan","rwd","front",NA,55.5,"ohc",141,"114",19,25,22625
